                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.0671,                 1.3832,                 2.2012,                0.53277,                0.64403,                0.58273,                0.26292,                 1.9875,                 1.5462,                 2.2304,             0.00099309,             0.00099309,             0.00099309
                     71,                 2.1813,                 1.5022,                 2.3648,                0.53277,                0.64403,                0.58273,                0.26292,                 1.9875,                 1.5462,                 2.2304,              0.0010052,              0.0010052,              0.0010052
                     72,                 2.0749,                 1.5217,                 2.2783,                0.65061,                0.62865,                0.62704,                0.27552,                 1.9715,                 1.5112,                  2.213,              0.0010172,              0.0010172,              0.0010172
                     73,                 2.0671,                 1.4342,                 2.2025,                0.65061,                0.62865,                0.62704,                0.27552,                 1.9715,                 1.5112,                  2.213,              0.0010291,              0.0010291,              0.0010291
                     74,                 2.0997,                 1.4248,                 2.2637,                0.65061,                0.62865,                0.62704,                0.27552,                 1.9715,                 1.5112,                  2.213,               0.001041,               0.001041,               0.001041
                     75,                  1.932,                 1.3778,                 2.1553,                0.64863,                0.62956,                0.58199,                0.25997,                 1.9753,                 1.4825,                 2.1944,              0.0010528,              0.0010528,              0.0010528
                     76,                 2.0657,                 1.4332,                 2.1978,                0.64863,                0.62956,                0.58199,                0.25997,                 1.9753,                 1.4825,                 2.1944,              0.0010646,              0.0010646,              0.0010646
                     77,                 2.0366,                 1.4458,                 2.1766,                0.64863,                0.62956,                0.58199,                0.25997,                 1.9753,                 1.4825,                 2.1944,              0.0010763,              0.0010763,              0.0010763
                     78,                 2.0791,                 1.4507,                 2.2198,                0.68464,                0.64843,                0.58242,                0.26953,                 2.0007,                 1.4677,                  2.193,              0.0010879,              0.0010879,              0.0010879
                     79,                 1.8843,                 1.3531,                 2.1096,                0.68464,                0.64843,                0.58242,                0.26953,                 2.0007,                 1.4677,                  2.193,              0.0010994,              0.0010994,              0.0010994
                     80,                 2.1269,                 1.4304,                 2.2297,                0.68464,                0.64843,                0.58242,                0.26953,                 2.0007,                 1.4677,                  2.193,              0.0011109,              0.0011109,              0.0011109
                     81,                  2.034,                  1.361,                  2.164,                0.72934,                0.52224,                0.61732,                0.31467,                 1.8987,                  1.358,                 2.1064,              0.0011224,              0.0011224,              0.0011224
                     82,                 1.8115,                 1.3674,                 2.1208,                0.72934,                0.52224,                0.61732,                0.31467,                 1.8987,                  1.358,                 2.1064,              0.0011337,              0.0011337,              0.0011337
                     83,                  1.891,                 1.3881,                 2.1528,                0.72934,                0.52224,                0.61732,                0.31467,                 1.8987,                  1.358,                 2.1064,               0.001145,               0.001145,               0.001145
                     84,                 1.9906,                 1.4326,                 2.2304,                0.72234,                0.57595,                0.62227,                0.30938,                 1.9816,                 1.3493,                 2.0993,              0.0011562,              0.0011562,              0.0011562
                     85,                 2.0533,                  1.435,                 2.1696,                0.72234,                0.57595,                0.62227,                0.30938,                 1.9816,                 1.3493,                 2.0993,              0.0011674,              0.0011674,              0.0011674
                     86,                 1.9942,                 1.3038,                 2.0775,                0.72234,                0.57595,                0.62227,                0.30938,                 1.9816,                 1.3493,                 2.0993,              0.0011785,              0.0011785,              0.0011785
                     87,                 1.8521,                 1.2961,                  2.055,                0.72234,                0.57595,                0.62227,                0.30938,                 1.9816,                 1.3493,                 2.0993,              0.0011895,              0.0011895,              0.0011895
                     88,                 1.9958,                 1.3862,                 2.1177,                0.69668,                0.53459,                0.62068,                0.30381,                  2.018,                 1.3169,                  2.102,              0.0012005,              0.0012005,              0.0012005
                     89,                 2.0614,                 1.3545,                 2.1655,                0.69668,                0.53459,                0.62068,                0.30381,                  2.018,                 1.3169,                  2.102,              0.0012114,              0.0012114,              0.0012114
                     90,                 1.9505,                 1.3456,                 2.0962,                0.69668,                0.53459,                0.62068,                0.30381,                  2.018,                 1.3169,                  2.102,              0.0012222,              0.0012222,              0.0012222
                     91,                 1.8497,                 1.3701,                 2.1603,                0.69668,                0.53459,                0.62068,                0.30381,                  2.018,                 1.3169,                  2.102,              0.0012329,              0.0012329,              0.0012329
                     92,                 1.9856,                 1.3584,                 2.1403,                0.71109,                0.56183,                0.65329,                0.30511,                 1.9739,                 1.3445,                  2.109,              0.0012436,              0.0012436,              0.0012436
                     93,                  1.931,                 1.3945,                 2.1552,                0.71109,                0.56183,                0.65329,                0.30511,                 1.9739,                 1.3445,                  2.109,              0.0012543,              0.0012543,              0.0012543
                     94,                 1.9727,                   1.37,                 2.1593,                0.71109,                0.56183,                0.65329,                0.30511,                 1.9739,                 1.3445,                  2.109,              0.0012648,              0.0012648,              0.0012648
                     95,                 1.9541,                 1.3821,                 2.1309,                0.71109,                0.56183,                0.65329,                0.30511,                 1.9739,                 1.3445,                  2.109,              0.0012753,              0.0012753,              0.0012753
                     96,                 1.8908,                 1.3033,                 2.0735,                0.74749,                0.56808,                0.66441,                0.31528,                 1.9392,                 1.3367,                 2.0824,              0.0012858,              0.0012858,              0.0012858
                     97,                 2.0075,                 1.2625,                 2.0687,                0.74749,                0.56808,                0.66441,                0.31528,                 1.9392,                 1.3367,                 2.0824,              0.0012961,              0.0012961,              0.0012961
                     98,                 1.9677,                 1.3403,                 2.1113,                0.74749,                0.56808,                0.66441,                0.31528,                 1.9392,                 1.3367,                 2.0824,              0.0013064,              0.0013064,              0.0013064
                     99,                 1.9849,                 1.3327,                 2.0953,                0.74749,                0.56808,                0.66441,                0.31528,                 1.9392,                 1.3367,                 2.0824,              0.0013167,              0.0013167,              0.0013167
                    100,                 2.0619,                 1.3741,                 2.1689,                0.75103,                0.56792,                0.61373,                0.30373,                 1.9453,                 1.3662,                 2.0667,              0.0013268,              0.0013268,              0.0013268
                    101,                 1.8671,                 1.3446,                 2.0393,                0.75103,                0.56792,                0.61373,                0.30373,                 1.9453,                 1.3662,                 2.0667,              0.0013369,              0.0013369,              0.0013369
                    102,                  1.867,                 1.3605,                 2.0721,                0.75103,                0.56792,                0.61373,                0.30373,                 1.9453,                 1.3662,                 2.0667,              0.0013369,              0.0013369,              0.0013369
                    103,                 1.9304,                 1.2948,                 2.0126,                0.75103,                0.56792,                0.61373,                0.30373,                 1.9453,                 1.3662,                 2.0667,              0.0013336,              0.0013336,              0.0013336
                    104,                 1.9194,                 1.3039,                 2.0483,                0.62449,                0.57736,                0.59709,                0.30952,                 1.9406,                  1.355,                 2.0618,              0.0013303,              0.0013303,              0.0013303
                    105,                 1.9113,                 1.2657,                  2.013,                0.62449,                0.57736,                0.59709,                0.30952,                 1.9406,                  1.355,                 2.0618,               0.001327,               0.001327,               0.001327
                    106,                 1.8049,                 1.2279,                 1.9855,                0.62449,                0.57736,                0.59709,                0.30952,                 1.9406,                  1.355,                 2.0618,              0.0013237,              0.0013237,              0.0013237
                    107,                 1.9988,                 1.3696,                 1.9881,                0.62449,                0.57736,                0.59709,                0.30952,                 1.9406,                  1.355,                 2.0618,              0.0013204,              0.0013204,              0.0013204
                    108,                 1.7441,                 1.2823,                 1.9782,                0.56604,                0.57822,                0.58438,                0.30498,                 1.9952,                 1.3587,                 2.0713,              0.0013171,              0.0013171,              0.0013171
                    109,                 2.2196,                 1.4517,                 2.1945,                0.56604,                0.57822,                0.58438,                0.30498,                 1.9952,                 1.3587,                 2.0713,              0.0013138,              0.0013138,              0.0013138
                    110,                 1.9519,                 1.4172,                 2.1583,                0.56604,                0.57822,                0.58438,                0.30498,                 1.9952,                 1.3587,                 2.0713,              0.0013105,              0.0013105,              0.0013105
                    111,                 1.8572,                 1.3477,                 2.0796,                0.56604,                0.57822,                0.58438,                0.30498,                 1.9952,                 1.3587,                 2.0713,              0.0013072,              0.0013072,              0.0013072
                    112,                 1.9603,                 1.4176,                 2.1411,                0.64061,                0.57496,                0.60758,                0.31772,                 1.8542,                 1.2983,                  1.981,              0.0013039,              0.0013039,              0.0013039
                    113,                 1.9706,                 1.3501,                  2.059,                0.64061,                0.57496,                0.60758,                0.31772,                 1.8542,                 1.2983,                  1.981,              0.0013006,              0.0013006,              0.0013006
                    114,                 2.0277,                 1.3593,                 2.1337,                0.64061,                0.57496,                0.60758,                0.31772,                 1.8542,                 1.2983,                  1.981,              0.0012973,              0.0012973,              0.0012973
